Year,Week,Crop Type,Avg Market Price (RM/KG),Month
2015,1,BAYAM,2.07,Jan
2015,1,CILI HIJAU,5.96,Jan
2015,1,CILI MERAH KULAI / KULAI HIBRID,7.65,Jan
2015,1,CILI MERAH MINYAK,8.75,Jan
2015,1,CILI PADI,13.0,Jan
2015,1,DAUN SUP (TANAH TINGGI),5.24,Jan
2015,1,HALIA MUDA,6.43,Jan
2015,1,KACANG BENDI,3.61,Jan
2015,1,KACANG BUNCIS,4.41,Jan
2015,1,KACANG PANJANG HIJAU,3.41,Jan
2015,1,KAILAN,2.81,Jan
2015,1,KANGKUNG,2.31,Jan
2015,1,KUBIS BULAT (TANAH TINGGI),1.36,Jan
2015,1,LABU MANIS,1.07,Jan
2015,1,LADA BENGGALA / CAPSICUM HIJAU,4.55,Jan
2015,1,LIMAU KASTURI,3.47,Jan
2015,1,LIMAU NIPIS,2.83,Jan
2015,1,PERIA,2.36,Jan
2015,1,SALAD BULAT TANAH TINGGI,3.61,Jan
2015,1,SAWI HIJAU (TANAH RENDAH),2.58,Jan
2015,1,TERUNG BULAT,2.84,Jan
2015,1,TERUNG PANJANG / PEPARU (TANAH RENDAH),3.06,Jan
2015,1,TIMUN HIJAU,1.57,Jan
2015,1,TOMATO (TANAH TINGGI),3.72,Jan
2015,2,BAYAM,2.19,Jan
2015,2,CILI HIJAU,6.04,Jan
2015,2,CILI MERAH KULAI / KULAI HIBRID,7.24,Jan
2015,2,CILI MERAH MINYAK,7.45,Jan
2015,2,CILI PADI,15.04,Jan
2015,2,DAUN SUP (TANAH TINGGI),6.25,Jan
2015,2,HALIA MUDA,6.64,Jan
2015,2,KACANG BENDI,4.16,Jan
2015,2,KACANG BUNCIS,5.49,Jan
2015,2,KACANG PANJANG HIJAU,3.58,Jan
2015,2,KAILAN,2.92,Jan
2015,2,KANGKUNG,2.48,Jan
2015,2,KUBIS BULAT (TANAH TINGGI),1.35,Jan
2015,2,LABU MANIS,1.23,Jan
2015,2,LADA BENGGALA / CAPSICUM HIJAU,5.98,Jan
2015,2,LIMAU KASTURI,2.48,Jan
2015,2,LIMAU NIPIS,3.19,Jan
2015,2,PERIA,2.88,Jan
2015,2,SALAD BULAT TANAH TINGGI,4.37,Jan
2015,2,SAWI HIJAU (TANAH RENDAH),3.08,Jan
2015,2,TERUNG BULAT,2.64,Jan
2015,2,TERUNG PANJANG / PEPARU (TANAH RENDAH),3.1,Jan
2015,2,TIMUN HIJAU,1.63,Jan
2015,2,TOMATO (TANAH TINGGI),3.28,Jan
2015,3,BAYAM,2.23,Jan
2015,3,CILI HIJAU,5.61,Jan
2015,3,CILI MERAH KULAI / KULAI HIBRID,6.89,Jan
2015,3,CILI MERAH MINYAK,6.91,Jan
2015,3,CILI PADI,13.36,Jan
2015,3,DAUN SUP (TANAH TINGGI),5.45,Jan
2015,3,HALIA MUDA,6.36,Jan
2015,3,KACANG BENDI,3.87,Jan
2015,3,KACANG BUNCIS,5.17,Jan
2015,3,KACANG PANJANG HIJAU,3.4,Jan
2015,3,KAILAN,2.77,Jan
2015,3,KANGKUNG,2.12,Jan
2015,3,KUBIS BULAT (TANAH TINGGI),1.63,Jan
2015,3,LABU MANIS,1.1,Jan
2015,3,LADA BENGGALA / CAPSICUM HIJAU,7.26,Jan
2015,3,LIMAU KASTURI,3.09,Jan
2015,3,LIMAU NIPIS,3.16,Jan
2015,3,PERIA,2.81,Jan
2015,3,SALAD BULAT TANAH TINGGI,3.7,Jan
2015,3,SAWI HIJAU (TANAH RENDAH),2.84,Jan
2015,3,TERUNG BULAT,3.15,Jan
2015,3,TERUNG PANJANG / PEPARU (TANAH RENDAH),3.22,Jan
2015,3,TIMUN HIJAU,1.26,Jan
2015,3,TOMATO (TANAH TINGGI),3.02,Jan
2015,4,BAYAM,2.21,Jan
2015,4,CILI HIJAU,5.52,Jan
2015,4,CILI MERAH KULAI / KULAI HIBRID,6.58,Jan
2015,4,CILI MERAH MINYAK,6.8,Jan
2015,4,CILI PADI,15.5,Jan
2015,4,DAUN SUP (TANAH TINGGI),5.05,Jan
2015,4,HALIA MUDA,6.08,Jan
2015,4,KACANG BENDI,4.23,Jan
2015,4,KACANG BUNCIS,5.2,Jan
2015,4,KACANG PANJANG HIJAU,3.51,Jan
2015,4,KAILAN,2.81,Jan
2015,4,KANGKUNG,1.93,Jan
2015,4,KUBIS BULAT (TANAH TINGGI),1.57,Jan
2015,4,LABU MANIS,1.15,Jan
2015,4,LADA BENGGALA / CAPSICUM HIJAU,4.9,Jan
2015,4,LIMAU KASTURI,3.12,Jan
2015,4,LIMAU NIPIS,3.19,Jan
2015,4,PERIA,3.1,Jan
2015,4,SALAD BULAT TANAH TINGGI,3.8,Jan
2015,4,SAWI HIJAU (TANAH RENDAH),2.53,Jan
2015,4,TERUNG BULAT,3.6,Jan
2015,4,TERUNG PANJANG / PEPARU (TANAH RENDAH),3.4,Jan
2015,4,TIMUN HIJAU,1.13,Jan
2015,4,TOMATO (TANAH TINGGI),3.54,Jan
2015,5,BAYAM,1.75,Feb
2015,5,CILI HIJAU,5.68,Feb
2015,5,CILI MERAH KULAI / KULAI HIBRID,6.58,Feb
2015,5,CILI MERAH MINYAK,6.47,Feb
2015,5,CILI PADI,14.68,Feb
2015,5,DAUN SUP (TANAH TINGGI),5.38,Feb
2015,5,HALIA MUDA,6.07,Feb
2015,5,KACANG BENDI,4.24,Feb
2015,5,KACANG BUNCIS,4.83,Feb
2015,5,KACANG PANJANG HIJAU,2.75,Feb
2015,5,KAILAN,3.09,Feb
2015,5,KANGKUNG,1.42,Feb
2015,5,KUBIS BULAT (TANAH TINGGI),1.72,Feb
2015,5,LABU MANIS,1.22,Feb
2015,5,LADA BENGGALA / CAPSICUM HIJAU,4.65,Feb
2015,5,LIMAU KASTURI,3.02,Feb
2015,5,LIMAU NIPIS,3.16,Feb
2015,5,PERIA,2.73,Feb
2015,5,SALAD BULAT TANAH TINGGI,4.08,Feb
2015,5,SAWI HIJAU (TANAH RENDAH),1.91,Feb
2015,5,TERUNG BULAT,3.44,Feb
2015,5,TERUNG PANJANG / PEPARU (TANAH RENDAH),3.53,Feb
2015,5,TIMUN HIJAU,0.96,Feb
2015,5,TOMATO (TANAH TINGGI),3.25,Feb
2015,6,BAYAM,1.57,Feb
2015,6,CILI HIJAU,5.64,Feb
2015,6,CILI MERAH KULAI / KULAI HIBRID,6.75,Feb
